,name,name_v,filedir,start,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0,Red Hot Chili Peppers - By The Way.mp3,Red Hot Chili Peppers - By The Way.mp3.0,../Data/,54.58621315192744,66150,0.4960188,0.06921842,0.25532073,0.0014075699,2453.2234468997744,208519.46055169232,2397.672373478624,62966.82574568954,5123.660043569712,928405.649548628,0.11707106370192308,0.0013517042447829387,8.050708e-05,0.02916357,-33.47437940009277,70.36665720521364,99.38401442307692,6.003213,1429.8673,85.92012,374.85574,-21.73883,122.355995,37.05577,83.33711,5.5572977,91.45338,26.418274,42.224594,-4.2465143,63.858265,13.83475,41.289154,-4.8188457,47.948727,13.307749,42.671776,-1.0894629,35.12721,8.241709,28.96234,-7.7087607,38.89439,4.8811173,22.541698,-5.8061438,31.761723,6.8131294,20.32018,-11.963255,30.735777,3.3505027,27.186148,-8.856844,22.127321,1.066591,32.05843
1,Red Hot Chili Peppers - By The Way.mp3,Red Hot Chili Peppers - By The Way.mp3.1,../Data/,57.58621315192744,66150,0.54353064,0.0655296,0.24998653,0.00170942,2138.2550101981246,166769.27468004578,2326.4691547479124,49823.61302157935,4493.234112079327,867898.6891176925,0.08404071514423077,0.0006997865332654242,0.00015291624,0.031615023,-34.25051775754519,76.81328219986574,129.19921875,-13.369818,1309.9839,96.94609,322.7929,-21.528746,73.022736,33.385517,78.52339,11.875531,81.97495,28.883608,52.038002,0.727514,47.077007,13.706759,44.18757,-0.8053021,31.745853,11.02398,34.694576,-1.3806936,30.368437,10.62401,21.692171,-9.505946,24.966347,1.6633651,17.466982,-6.8792453,20.731031,7.31234,18.28341,-9.096579,12.805583,4.7362943,22.594097,-8.342826,22.24549,2.1002896,16.486143
2,Red Hot Chili Peppers - By The Way.mp3,Red Hot Chili Peppers - By The Way.mp3.2,../Data/,60.58621315192744,66150,0.5571034,0.05789669,0.2524357,0.0009972347,2477.5007841629995,402866.7139017355,2448.4093808362654,77431.29503489686,5183.704552283654,1186927.1442445777,0.11148587740384615,0.0024945963910345493,2.8319075e-05,0.031455655,-32.38128293022061,68.33521885484183,123.046875,3.7335951,1231.1182,86.33573,396.88083,-20.025042,154.67676,31.795046,120.65648,8.0352125,82.95017,30.393063,48.10773,-0.9692047,40.990166,15.479674,25.160187,-3.4200637,27.82509,10.011957,20.842579,0.4568295,22.37675,11.135538,21.885317,-9.793263,32.40648,1.464562,17.7851,-7.7324395,13.887997,8.323081,13.875822,-9.350642,20.752014,4.7939334,16.506289,-7.806234,22.73291,2.909427,19.891186
3,Red Hot Chili Peppers - By The Way.mp3,Red Hot Chili Peppers - By The Way.mp3.3,../Data/,63.58621315192744,66150,0.4590732,0.07311586,0.2829981,0.0010210413,2909.4310734758956,163332.11208652356,2528.585858077193,36308.333832480734,5920.057279146635,384398.871542046,0.156982421875,0.0015013813972473145,-0.000106839165,0.045858704,-34.33055701612482,91.87645967454507,123.046875,37.155895,468.37308,70.52625,271.52078,-20.677336,89.74133,33.29817,95.680786,-2.2972133,59.124302,24.904913,54.481934,-11.906515,64.819626,9.263724,58.37455,-10.2920685,43.05692,11.135475,41.776188,-4.459927,41.896503,6.6975203,30.481739,-6.928862,26.81931,1.6615825,32.36933,-10.017739,20.087713,8.030863,20.856382,-12.903386,36.117466,7.8058434,50.790745,-6.4298415,13.104428,3.1935627,22.750706
4,Red Hot Chili Peppers - By The Way.mp3,Red Hot Chili Peppers - By The Way.mp3.4,../Data/,66.58621315192744,66150,0.42227945,0.07492234,0.26575947,0.0011285206,2837.8745436772365,93941.04066497477,2515.8307704976473,21177.45167212262,5806.842322716346,226483.1321840456,0.15025165264423077,0.0009226991015778491,8.653942e-06,0.039734386,-31.425028596853767,95.06570857268686,123.046875,26.97074,513.07776,72.045555,157.9279,-23.71289,68.07511,28.945219,106.19151,-5.482946,77.238434,28.290857,25.434473,-6.0236244,50.61378,10.135289,35.60072,-9.432498,55.579094,13.007778,36.34221,-6.0232825,27.3106,4.773076,42.130768,-8.925535,35.21495,2.3173296,39.38285,-9.475017,31.528448,9.649189,22.343792,-15.812064,27.021446,4.3602138,16.241573,-6.6219783,30.390083,7.9516544,41.004456
5,Red Hot Chili Peppers - By The Way.mp3,Red Hot Chili Peppers - By The Way.mp3.5,../Data/,69.58621315192744,66150,0.3931716,0.080338955,0.27809605,0.001120647,2874.84280212371,92059.60046415274,2545.6232798398955,17548.77111325815,5864.4850510817305,202725.4632330505,0.14779522235576922,0.0012737275439606618,5.153388e-05,0.04028033,-31.81364009370227,93.85754149505787,123.046875,29.744675,570.27094,70.00244,138.2555,-21.845926,96.14709,28.93828,95.38101,-6.656838,62.470314,24.044813,64.17191,-6.3747444,78.6726,11.2037115,26.591976,-7.9425273,50.39267,11.536516,52.075535,-5.6161127,32.77947,10.391962,22.834898,-8.210044,29.670338,1.5037708,28.621817,-9.803074,37.427082,9.269196,19.147074,-11.313242,19.726469,8.505508,19.722183,-2.3818777,21.764301,7.652559,20.045328
6,Red Hot Chili Peppers - By The Way.mp3,Red Hot Chili Peppers - By The Way.mp3.6,../Data/,72.58621315192744,66150,0.39838874,0.07183057,0.28466177,0.0010421381,2876.2087815768564,162239.1306937616,2501.207943013521,40501.12979806444,5767.66845703125,484549.110436898,0.16001727764423077,0.0013308863809122844,5.185526e-05,0.046123788,-30.12180325516344,88.2442092921899,123.046875,35.11637,368.22998,69.88354,188.36433,-24.827206,117.96427,33.20784,176.64932,-3.2252436,83.3575,23.200823,48.25667,-9.593299,69.24873,9.678277,16.508118,-2.780136,23.152386,14.425599,53.102642,-8.996498,41.194218,5.892713,42.79015,-11.125873,52.719643,4.16845,37.57133,-6.3797636,20.887892,9.241458,20.519339,-13.028225,33.23436,10.064631,28.062483,-5.334237,24.642511,5.5874014,43.89263
7,Red Hot Chili Peppers - By The Way.mp3,Red Hot Chili Peppers - By The Way.mp3.7,../Data/,75.58621315192744,66150,0.46875596,0.07155965,0.26152053,0.0013235008,2746.253498886525,149841.26616251506,2444.442929987244,34068.71327100086,5563.434307391827,542204.253965052,0.14681114783653845,0.001206439782881878,-7.429439e-05,0.034611378,-31.232864519164842,87.8595468541532,123.046875,26.888948,571.3418,74.0875,277.27094,-28.288668,69.67862,32.488255,76.51455,0.48553708,41.7063,22.96141,46.32773,-11.855193,66.93546,7.886618,36.420807,-7.645343,39.375263,13.769927,25.885807,-2.5503716,28.76662,13.177358,38.070095,-6.0667014,37.23596,5.5308166,33.08595,-5.0898542,25.291485,9.28789,20.902622,-14.834664,29.313345,2.594207,23.51872,-2.8872862,30.348234,5.492687,17.933231
8,Red Hot Chili Peppers - By The Way.mp3,Red Hot Chili Peppers - By The Way.mp3.8,../Data/,78.58621315192744,66150,0.4206374,0.070425406,0.2730379,0.0009920634,2275.097370023284,216638.3548704768,2233.664545259626,65003.34053240264,4582.845365084135,1137903.0187286923,0.11573392427884616,0.0012360443166021763,4.6716556e-05,0.034149047,-33.09116780110261,94.61004557539918,129.19921875,14.711674,1042.9303,99.279655,480.39487,-30.616749,172.94582,17.194157,185.48946,-10.585525,97.3793,23.412163,75.658806,-3.651632,81.1095,16.168566,99.712135,2.9459844,87.993,14.606304,35.11663,-4.2993445,26.412725,10.724559,55.92395,-3.997828,21.684223,6.9289002,39.19856,-5.898587,39.81133,7.465762,21.676186,-12.544766,19.598053,1.1095053,26.896572,-4.695573,31.586329,6.6863685,29.035696
9,Red Hot Chili Peppers - By The Way.mp3,Red Hot Chili Peppers - By The Way.mp3.9,../Data/,81.58621315192744,66150,0.47856712,0.06759108,0.2746343,0.0009452822,1913.3492743262082,140519.4767255009,2062.3154029813822,73683.96582104175,3764.5008263221152,1080603.282285301,0.08973858173076923,0.00043085532780935074,-0.00010837445,0.029972823,-32.087653404394956,97.75550586165207,123.046875,-1.9671246,1208.8856,117.95027,442.36044,-30.996199,187.52614,12.949378,225.09776,-5.7236786,114.4636,24.035456,62.53423,0.07725358,69.25002,21.90694,33.97479,6.1623707,57.3789,11.65395,39.68774,-3.089646,26.107847,11.441784,59.89743,-5.294237,20.08806,4.6329236,34.030437,-7.8164206,26.704788,4.7332625,30.647442,-13.042722,16.573063,1.8999575,24.176188,-3.4788635,29.243769,8.708649,15.2775345
