,name,name_v,filedir,start,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3.0,C:\Users\carst\Documents\GitHub\Data-Science-II\Web Application\media\documents\The_Cranberries_-_2001_-_Bury_The_Hatchet_Complete_Sess._-_CD1_-_04_-_You_And__aIX5i5N.mp3,53,66150,0.3058822,0.08491706,0.2581034,0.0012261622,2562.0865326444928,172530.5426272437,2721.577875055173,71048.57538130698,5685.262545072115,1385532.7524209165,0.11202298677884616,0.0005500421721554367,3.998244e-05,0.043822072,-36.529373269451575,128.35541457685144,129.19921875,-7.744388,414.33694,87.38196,231.14522,2.6302655,120.19669,27.537184,49.91886,1.3613682,67.80046,3.0593867,78.27449,-5.8279843,89.44653,-0.7900774,71.364105,-6.5897956,40.15281,6.0923743,103.4236,-12.604881,37.869045,7.0672026,46.11604,-15.340822,38.07744,2.8513682,44.479713,-3.8065932,36.926727,-1.1440289,40.489513,-15.120995,28.750364,1.8243423,55.606434,-15.396289,38.726727,2.169866,53.022335
1,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3.1,C:\Users\carst\Documents\GitHub\Data-Science-II\Web Application\media\documents\The_Cranberries_-_2001_-_Bury_The_Hatchet_Complete_Sess._-_CD1_-_04_-_You_And__aIX5i5N.mp3,56,66150,0.36064515,0.081087045,0.23414744,0.0011295929,2793.585638334757,225232.9222870167,2847.5295158592025,70503.56628201932,6169.925255408654,1698590.677185736,0.13548677884615384,0.0011608205039120285,-2.5129697e-05,0.034701176,-34.16377519158146,134.00444633801257,129.19921875,-9.183197,532.6019,83.23738,252.78311,4.2249427,93.637695,26.676634,99.92805,1.6938918,80.13786,-0.26303288,119.89878,-1.3050542,88.57698,-0.53126055,62.35595,-4.8619795,53.403442,3.8855712,84.98261,-14.053694,49.3723,6.8727,51.531963,-16.722107,54.604855,5.3108377,40.65011,-4.2576876,42.83979,-3.1402597,33.151215,-17.330187,30.990463,-0.27631617,24.798765,-16.970959,41.975212,3.754102,50.74538
2,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3.2,C:\Users\carst\Documents\GitHub\Data-Science-II\Web Application\media\documents\The_Cranberries_-_2001_-_Bury_The_Hatchet_Complete_Sess._-_CD1_-_04_-_You_And__aIX5i5N.mp3,59,66150,0.35903883,0.0804894,0.24441674,0.00094595813,2629.4259646483474,78770.8116425437,2723.4865580304117,30564.808651170068,5692.3850661057695,867130.1551639681,0.13038987379807693,0.0006098028470778608,-1.7361685e-05,0.035628967,-33.03384746595546,127.39324005090583,129.19921875,3.3244393,400.15332,88.064,123.35803,-4.259318,113.2044,22.760668,90.11835,2.1597252,87.538795,-2.6200976,87.846924,-7.755716,54.216873,-0.6244031,56.949173,-1.355225,69.78953,4.4775896,53.79768,-16.068056,30.1332,10.45188,34.31362,-13.168564,53.25812,3.2270105,33.345108,-2.0113583,26.583246,-1.1094017,44.936787,-15.2028885,29.557516,3.1135547,38.188065,-14.676704,19.373022,3.3074422,67.64526
3,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3.3,C:\Users\carst\Documents\GitHub\Data-Science-II\Web Application\media\documents\The_Cranberries_-_2001_-_Bury_The_Hatchet_Complete_Sess._-_CD1_-_04_-_You_And__aIX5i5N.mp3,62,66150,0.35490018,0.08579161,0.23863724,0.0016202007,2849.8428972589263,222159.02522787513,2878.9313451188036,51208.418739841174,6415.486591045673,1427157.7846305962,0.13657977764423077,0.0008992130375472752,-8.544107e-06,0.036346585,-34.11582154737217,130.11027125860807,129.19921875,-7.243382,475.9588,79.05472,278.35028,4.36289,108.44436,26.54067,93.40226,6.159125,89.30878,-2.978653,149.96838,-8.293167,89.898605,0.40181178,64.70745,-3.531626,55.787907,-0.7844483,73.384346,-15.094775,65.70869,7.666024,52.817963,-15.012343,70.707565,4.2825246,42.336506,-2.755626,34.660343,-2.8999338,33.029102,-16.81608,42.826393,-0.904453,21.180702,-15.060491,44.41352,2.7874634,68.889275
4,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3.4,C:\Users\carst\Documents\GitHub\Data-Science-II\Web Application\media\documents\The_Cranberries_-_2001_-_Bury_The_Hatchet_Complete_Sess._-_CD1_-_04_-_You_And__aIX5i5N.mp3,65,66150,0.3620309,0.07940062,0.23508473,0.0012309251,2843.419817385082,273235.125831804,2807.9255701158177,76142.36941724268,6185.578237680288,1888967.3646985074,0.13972731370192307,0.001094201175418831,-1.2017924e-05,0.03221191,-34.45023809582688,131.157836220883,129.19921875,-2.3061318,389.19922,80.16277,307.76956,2.9588325,119.8675,27.33208,64.53373,0.1592386,70.99373,-1.4621776,129.52666,-4.38447,97.13134,-0.5160608,65.78914,-7.9904833,56.4776,8.891348,104.20044,-10.961162,57.168766,9.748359,55.249996,-15.413142,29.790457,3.2865493,21.701723,-0.9176734,44.08499,-1.2544168,44.290512,-16.41066,39.37998,-0.039614987,28.620802,-17.75684,29.139294,4.3575563,33.98592
5,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3.5,C:\Users\carst\Documents\GitHub\Data-Science-II\Web Application\media\documents\The_Cranberries_-_2001_-_Bury_The_Hatchet_Complete_Sess._-_CD1_-_04_-_You_And__aIX5i5N.mp3,68,66150,0.34365642,0.0792984,0.24665236,0.0011946518,2762.961671235604,149527.38500210433,2852.079506699454,42391.56997096948,6203.218900240385,1180696.5627620912,0.12679912860576922,0.0004910910482237325,4.876015e-06,0.03746392,-34.129459720901686,120.90410952674038,129.19921875,-5.545286,392.57248,81.6695,191.74979,4.204335,136.68419,26.614153,96.98945,5.612075,81.99552,1.2923727,146.44157,-7.578634,65.924126,0.26317137,89.22383,-6.3999643,53.57645,4.414086,69.276344,-13.212804,48.20435,4.439297,33.358475,-16.420671,29.948563,2.7900348,43.655174,-8.216431,22.141722,-1.9865379,27.397335,-14.718839,27.176317,1.955975,38.945915,-15.045096,37.545555,1.1446228,25.98896
6,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3.6,C:\Users\carst\Documents\GitHub\Data-Science-II\Web Application\media\documents\The_Cranberries_-_2001_-_Bury_The_Hatchet_Complete_Sess._-_CD1_-_04_-_You_And__aIX5i5N.mp3,71,66150,0.4075838,0.07536059,0.20095126,0.0011216329,2821.8664329791977,184467.82122343665,3031.04879933298,43693.32711538814,6924.581204927885,908251.3619061759,0.11520432692307692,0.0011787992398414387,-5.5891804e-05,0.027512131,-34.861866642209804,104.78300801182951,129.19921875,-33.116646,487.64532,79.25375,177.65376,15.915148,68.30976,26.563435,89.52007,11.307462,35.225533,14.659002,87.12265,-5.2333865,96.02976,5.2173114,58.8665,-1.1054723,46.77392,6.5896444,60.50125,-6.6414013,54.217766,2.9047413,44.543335,-14.079983,22.857332,3.8546937,23.49981,-11.364143,37.563118,3.1433358,39.810127,-13.558007,16.878689,0.78146785,38.26748,-13.347687,23.04953,5.397336,64.35091
7,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3.7,C:\Users\carst\Documents\GitHub\Data-Science-II\Web Application\media\documents\The_Cranberries_-_2001_-_Bury_The_Hatchet_Complete_Sess._-_CD1_-_04_-_You_And__aIX5i5N.mp3,74,66150,0.40490988,0.07858353,0.20354937,0.0014085495,2482.3222076374695,140407.5305897904,2887.806524117212,48747.8947176421,6002.794471153846,1044486.7889528445,0.096337890625,0.0004736227255601149,2.8750426e-05,0.028123565,-36.228487046327515,116.77227407907246,95.703125,-47.648132,823.07153,87.84095,158.86342,10.224067,137.07654,26.534122,81.21389,12.546532,76.99698,14.711364,29.071386,-1.3047692,83.040184,0.98898923,78.71188,5.219902,95.23307,0.731874,52.937153,-5.8840313,35.99577,1.6829159,36.300865,-11.996602,20.508284,6.8747725,15.619402,-14.16505,28.80332,2.6349032,36.908978,-15.287023,28.574596,-2.791422,46.35675,-20.038383,48.91521,-1.6839929,48.280743
8,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3.8,C:\Users\carst\Documents\GitHub\Data-Science-II\Web Application\media\documents\The_Cranberries_-_2001_-_Bury_The_Hatchet_Complete_Sess._-_CD1_-_04_-_You_And__aIX5i5N.mp3,77,66150,0.37057382,0.07610399,0.20610958,0.001452149,2405.2506328459945,214704.5509503709,2845.129537697407,92010.80781670785,5930.823880709135,1615344.9134561792,0.0916015625,0.0006841608194204477,-4.3162174e-05,0.02986371,-35.27437442989506,120.89214518066127,129.19921875,-52.612244,784.0171,93.715775,217.75429,13.830134,141.10205,24.441566,83.71345,9.856557,88.20913,14.086514,90.436066,-4.614078,70.91053,3.8482866,76.88038,1.5428032,104.1979,5.085006,72.09858,-6.443335,58.148933,1.33938,46.25408,-13.304352,26.215025,8.071299,50.780193,-13.950763,44.204617,2.9185505,22.902824,-16.147945,26.90923,0.58185834,21.81896,-14.104611,70.74541,6.004493,93.50075
9,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3,The Cranberries - 2001 - Bury The Hatchet Complete Sess. - CD1 - 04 - You And Me.mp3.9,C:\Users\carst\Documents\GitHub\Data-Science-II\Web Application\media\documents\The_Cranberries_-_2001_-_Bury_The_Hatchet_Complete_Sess._-_CD1_-_04_-_You_And__aIX5i5N.mp3,80,66150,0.4046361,0.077270314,0.19613615,0.0014223121,2320.3202510083497,198438.94953714602,2600.188139041856,117979.96041271956,5301.3917893629805,1756271.8649231119,0.10084885817307693,0.0005425018671701646,3.3916564e-05,0.024545247,-37.238828139675576,112.66052646232983,129.19921875,-50.120018,774.8953,90.78525,257.5503,-1.6781332,199.11752,34.588627,59.780075,17.840357,67.84539,19.568634,58.756035,-5.2079425,31.060135,7.707255,44.89281,-10.718127,89.30469,5.3474,30.868435,-8.199457,47.315018,1.4747509,49.1073,-12.13164,22.978718,4.4349003,25.693336,-14.885539,48.88245,3.7331903,51.658737,-14.034124,58.487583,3.6819503,26.412949,-13.258404,59.24215,1.5021548,42.338535
