,name,name_v,filedir,start,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3.0,documents/Black_Box_-_Ride_On_Time_2006__B_Noise_Jay_Criss_Remix_.mp3,94.15211451247166,66150,0.5858966,0.06779967,0.2871582,0.027171219,2210.4632680571317,495891.1236772309,2602.8758671639775,116349.94518547962,5250.291841947115,1988559.5633695817,0.06158728966346154,0.002122814429582223,0.00047198156,0.030778164,-47.591786143704816,128.15884006373818,129.19921875,-75.34725,5874.292,81.78794,286.78275,0.26156434,220.53784,27.822495,141.5708,10.065704,223.12872,20.813946,87.43786,1.9464421,108.066414,16.310966,53.80616,2.7637303,70.45783,13.49497,47.90632,2.4462895,45.271217,11.212753,36.20341,-0.28283608,38.898964,8.555708,45.622543,-1.5349088,35.603703,9.714063,36.209717,-1.106353,31.319714,6.61236,43.008045,-3.437051,34.177254,3.0011163,25.469862
1,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3.1,documents/Black_Box_-_Ride_On_Time_2006__B_Noise_Jay_Criss_Remix_.mp3,97.15211451247166,66150,0.5852654,0.06938783,0.30626404,0.02607599,2194.9137718153693,457318.4136883447,2599.253462475351,114611.38706606408,5191.075533353365,1962888.2520759243,0.06305588942307692,0.002168650824642746,0.0009073318,0.053813152,-47.16295666474929,125.81139594604151,129.19921875,-71.19535,4733.503,82.07773,261.3673,0.16535996,216.83597,29.220966,145.3763,11.248477,189.14908,20.503159,91.86616,2.1345575,84.607994,15.102847,58.82762,1.8097279,71.660515,13.312301,51.928905,2.7735257,39.73875,12.446125,35.528336,-0.0994491,29.454721,9.920437,35.521576,-1.6311432,32.040173,10.985857,37.980103,0.37782404,54.335087,8.8072605,51.30737,-2.6166768,26.412853,4.7936363,25.656244
2,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3.2,documents/Black_Box_-_Ride_On_Time_2006__B_Noise_Jay_Criss_Remix_.mp3,100.15211451247166,66150,0.5825378,0.0693971,0.28415644,0.028126933,2299.5475934932056,436826.9273699168,2619.786088765441,87567.17036099418,5371.623159555288,1563789.0397588534,0.07181114783653846,0.0029807794587851976,0.00086413405,0.040091038,-47.66830311859413,128.75193055506222,129.19921875,-71.367546,5332.667,79.56597,242.89792,-1.0148185,215.80667,28.816944,137.53665,8.034057,194.39673,19.650808,84.456955,0.82363904,101.74304,13.94571,58.754967,0.18906438,74.334305,12.38401,55.188652,2.0858688,33.408836,11.792291,37.65768,0.042903066,29.784683,9.494681,30.98264,-2.3873775,29.175947,10.477394,41.64509,0.82955676,57.395275,9.273811,61.42818,-1.8129873,41.504032,3.7414923,26.309202
3,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3.3,documents/Black_Box_-_Ride_On_Time_2006__B_Noise_Jay_Criss_Remix_.mp3,103.15211451247166,66150,0.5706245,0.06492547,0.23924609,0.01752584,3289.6543770692115,674146.8956893675,2914.976807381709,89190.02575739502,6947.025428185096,1438247.583139895,0.14308143028846154,0.010185960397212463,0.00030705493,0.03223548,-45.28514223621371,103.59126649474442,172.265625,-34.079567,4277.578,51.243015,805.5903,2.3605647,314.70352,26.505203,108.39691,5.530929,104.649155,18.850183,74.66378,-0.71783894,50.921024,14.6438465,34.319202,0.6017375,29.113441,16.033218,39.299263,0.8355851,27.488789,13.230663,26.978346,-1.971181,26.86244,8.86902,31.515087,-2.1814132,30.574467,11.48056,43.145878,-2.0673053,52.503544,9.303887,71.05827,-5.4169464,27.755173,5.3610377,32.40821
4,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3.4,documents/Black_Box_-_Ride_On_Time_2006__B_Noise_Jay_Criss_Remix_.mp3,106.15211451247166,66150,0.5885842,0.06572334,0.3161497,0.017549481,2371.655236194202,431374.54372804944,2646.164216136035,68784.18864401148,5489.8073167067305,1464943.789282635,0.07456430288461538,0.003546239582039195,0.00022308431,0.057868812,-44.98559407024959,98.92940295546711,129.19921875,-37.80782,2849.196,77.30732,238.97421,-2.416969,237.31796,29.077335,123.145256,8.626781,149.58633,19.285826,79.68843,0.3189125,66.935974,15.570975,47.788227,1.4893641,52.425938,14.336422,33.39164,2.2978327,20.013405,14.608695,31.485006,0.5872782,25.505064,8.525584,31.901352,-4.0978284,42.23376,10.426243,27.692158,0.65269053,29.368994,10.434985,43.149166,-1.6605103,33.822803,6.149818,28.97037
5,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3.5,documents/Black_Box_-_Ride_On_Time_2006__B_Noise_Jay_Criss_Remix_.mp3,109.15211451247166,66150,0.57349634,0.07187609,0.3156679,0.018643962,2298.119006010069,471089.8349509083,2633.207327175786,85189.48412234671,5394.398662860577,1765915.3901516332,0.07259990985576924,0.0030458524946630353,0.0003285655,0.051434454,-45.57664642157938,108.07319820794062,129.19921875,-45.37913,4058.8635,78.84911,231.77315,-0.9947303,192.70724,28.355762,101.26786,9.491668,182.308,20.130363,89.975525,0.9775062,93.57264,15.727844,39.76327,2.4942536,56.763275,15.432357,30.870838,2.976289,34.984604,13.588493,34.83106,0.37260613,36.9783,10.037766,38.601673,-2.0667026,32.173416,9.971181,33.470993,-0.22404274,27.482243,8.318716,34.04247,-3.7903836,30.290947,4.263051,35.13861
6,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3.6,documents/Black_Box_-_Ride_On_Time_2006__B_Noise_Jay_Criss_Remix_.mp3,112.15211451247166,66150,0.58849704,0.064981215,0.3176361,0.0183096,3025.761880078577,939833.2919344343,2873.8843707020314,69589.11578253498,6564.645432692308,1731241.2672411052,0.127587890625,0.012252208452958326,0.00034621835,0.05581632,-44.05932750220193,90.08473144493826,129.19921875,-24.420729,2132.4148,55.256874,802.41864,7.3114886,254.34038,29.27038,96.21868,5.4164515,148.23886,19.409948,85.80143,-0.56733215,61.10374,15.850898,53.595245,-0.30210987,49.124382,16.092325,42.924316,1.7592928,30.14977,15.26041,41.66053,-0.3774542,37.800423,9.52579,34.68282,-3.61846,40.994892,11.377379,35.014416,1.2962409,35.124504,13.670624,53.99525,-3.0246086,35.020535,6.917716,27.44671
7,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3.7,documents/Black_Box_-_Ride_On_Time_2006__B_Noise_Jay_Criss_Remix_.mp3,115.15211451247166,66150,0.57227147,0.07242521,0.3175486,0.017663592,2312.94053314964,479323.57368735183,2600.815606564246,85698.97833758747,5342.636155348558,1739313.2916071357,0.07069561298076923,0.0035299227223593807,0.0005398898,0.060126197,-44.63193712669781,104.19604568513668,129.19921875,-38.292496,3276.3547,80.44214,231.23119,-2.7477703,211.8015,29.010042,121.12239,7.939891,163.21541,19.215696,87.44688,0.2572125,90.09115,16.092575,47.300358,2.7483141,61.059376,15.268006,31.198591,2.5314953,29.587313,13.741066,36.064754,0.0403745,31.320608,9.022305,37.286488,-3.4723053,39.770393,9.392225,33.17476,-0.8964667,24.079773,7.5963397,36.765106,-2.504008,32.924908,5.085881,29.385818
8,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3.8,documents/Black_Box_-_Ride_On_Time_2006__B_Noise_Jay_Criss_Remix_.mp3,118.15211451247166,66150,0.5972376,0.06497906,0.26923123,0.012821564,3206.997063595894,841490.9222234713,2910.6203159431684,127128.44231926872,6858.2423753004805,2045930.2509059922,0.13109975961538461,0.010335736077212726,0.0002071338,0.04448277,-44.001702764867595,91.88920154588867,129.19921875,-18.50092,2696.824,56.140095,1026.4386,3.4370244,320.33087,25.904888,113.37571,7.39762,71.94263,19.115776,71.75421,0.20911363,39.88268,16.04164,34.431576,0.8230839,24.748981,16.411102,33.949333,0.99544233,27.16152,14.762577,30.114645,-0.12241721,33.991043,10.417376,34.96082,-3.2854347,25.463104,9.459123,38.612915,-2.346523,42.73207,9.772535,62.528706,-4.675966,27.62984,7.2049994,46.79361
9,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3,Black Box - Ride On Time 2006 ( B Noise Jay Criss Remix ).mp3.9,documents/Black_Box_-_Ride_On_Time_2006__B_Noise_Jay_Criss_Remix_.mp3,121.15211451247166,66150,0.607635,0.06040691,0.3337903,0.01653489,2982.0169908508014,706460.7815692606,3021.526994384604,65221.45413287872,6934.519606370192,1543138.533451148,0.10259164663461538,0.006653999351185454,0.00029037055,0.06870746,-44.240887865464934,87.09554103470958,129.19921875,-15.34753,1653.8043,64.40586,445.33017,10.190678,189.27266,20.009968,78.53699,12.744052,94.019264,18.436373,62.20133,0.6850628,37.065533,18.09181,43.546024,0.39834574,34.952072,17.232325,34.907616,1.1655039,17.619585,16.458244,30.138714,0.22518006,28.75549,10.8729,33.599632,-4.9612737,37.244514,9.275313,22.344591,-1.7962748,29.06339,8.78085,39.60757,-2.2761502,31.257936,8.572551,34.897896
